# Reference throughput (kTPS) and latency (ms) from paper Figure 3 (WAN, 50ms one-way delay)
# Source: approximate reads from PDF figure; replace with author-provided CSV when available
# Columns: protocol, faults, throughput_ktps, latency_ms
protocol,faults,throughput_ktps,latency_ms
Raftel,1,12.0,420
Raftel,2,10.5,480
Raftel,4,8.0,560
Raftel,8,5.5,720
Raftel,16,3.2,1100
Raftel,32,1.8,2000
Chained,1,13.5,400
Chained,2,11.5,450
Chained,4,9.0,530
Chained,8,6.2,680
Chained,16,3.8,1050
Chained,32,2.1,1900
Achilles,1,15.0,380
Achilles,2,13.0,430
Achilles,4,10.5,500
Achilles,8,7.5,640
Achilles,16,4.8,980
Achilles,32,2.8,1800
Hotstuff,1,5.0,850
Hotstuff,2,4.2,950
Hotstuff,4,3.0,1200
Hotstuff,8,2.0,1800
Hotstuff,16,1.2,3000
Hotstuff,32,0.7,5500
Basic-Damysus,1,6.0,800
Basic-Damysus,2,5.0,900
Basic-Damysus,4,3.5,1150
Basic-Damysus,8,2.3,1700
Basic-Damysus,16,1.4,2800
Basic-Damysus,32,0.8,5200
Raftel-Worst,1,5.2,840
Raftel-Worst,2,4.3,940
Raftel-Worst,4,3.1,1190
Raftel-Worst,8,2.1,1780
Raftel-Worst,16,1.3,2950
Raftel-Worst,32,0.7,5400
