# Reference throughput (kTPS) and latency (ms) from paper Figure 4 (LAN, no WAN delay)
# Source: approximate reads from PDF figure; paper exact value: Fig4 S1 at f=32 = 31.5 kTPS
# Columns: set, faults, throughput_ktps, latency_ms
set,faults,throughput_ktps,latency_ms
set1,1,65.0,15
set1,2,58.0,18
set1,4,48.0,22
set1,8,38.0,30
set1,16,34.0,40
set1,32,31.5,50
set2,1,55.0,18
set2,2,48.0,22
set2,4,40.0,28
set2,8,32.0,36
set2,16,27.0,48
set2,32,22.0,65
set3,1,50.0,20
set3,2,44.0,24
set3,4,36.0,30
set3,8,28.0,40
set3,16,23.0,52
set3,32,18.0,70
set4,1,40.0,25
set4,2,35.0,30
set4,4,28.0,38
set4,8,22.0,50
set4,16,17.0,65
set4,32,13.0,90
