# Reference E2E throughput (kTPS) from paper Figure 6 (Redis WAN, f=8, 50ms one-way delay)
# Paper exact values (text): Achilles=95 TPS, Chained=92 TPS, Raftel=84 TPS, Hotstuff=44 TPS (peak)
# Note: peak TPS at optimal client count; full curve approximated from PDF figure
# Columns: protocol, load_clients, throughput_ktps, latency_avg_ms
protocol,load_clients,throughput_ktps,latency_avg_ms
Raftel,1,0.025,350
Raftel,2,0.045,400
Raftel,4,0.070,500
Raftel,8,0.084,700
Raftel,16,0.078,1200
Raftel,32,0.065,2200
Chained,1,0.028,340
Chained,2,0.050,390
Chained,4,0.078,490
Chained,8,0.092,680
Chained,16,0.085,1150
Chained,32,0.072,2100
Achilles,1,0.030,330
Achilles,2,0.055,380
Achilles,4,0.082,480
Achilles,8,0.095,660
Achilles,16,0.088,1100
Achilles,32,0.075,2050
Hotstuff,1,0.012,700
Hotstuff,2,0.022,750
Hotstuff,4,0.036,900
Hotstuff,8,0.044,1300
Hotstuff,16,0.041,2300
Hotstuff,32,0.032,4200
Basic-Damysus,1,0.022,360
Basic-Damysus,2,0.040,410
Basic-Damysus,4,0.062,510
Basic-Damysus,8,0.075,720
Basic-Damysus,16,0.068,1250
Basic-Damysus,32,0.055,2300
