TEE nodes,value,algorithm,network,metric

1,2.1237383333333335,Chained-Raftel,WAN,throughput
2,1.5206665000000001,Chained-Raftel,WAN,throughput
4,1.1880716666666666,Chained-Raftel,WAN,throughput
8,0.8799748333333332,Chained-Raftel,WAN,throughput
16,0.7022787999999999,Chained-Raftel,WAN,throughput
32,0.6323329,Chained-Raftel,WAN,throughput
1,196.64313899999996,Chained-Raftel,WAN,latency
2,274.317625,Chained-Raftel,WAN,latency
4,309.7856875000001,Chained-Raftel,WAN,latency
8,478.1461666666667,Chained-Raftel,WAN,latency
16,594.89899,Chained-Raftel,WAN,latency
32,658.7689,Chained-Raftel,WAN,latency

1,1.7639577499999999,Raftel,WAN,throughput
2,1.3248718571428573,Raftel,WAN,throughput
4,1.0585644615384615,Raftel,WAN,throughput
8,0.79290584,Raftel,WAN,throughput
16,0.6889446938775511,Raftel,WAN,throughput
32,0.6252793917525779,Raftel,WAN,throughput
1,226.7628125,Raftel,WAN,latency
2,301.953125,Raftel,WAN,latency
4,377.9022307692308,Raftel,WAN,latency
8,526.498465,Raftel,WAN,latency
16,611.0285280612244,Raftel,WAN,latency
32,670.832045103093,Raftel,WAN,latency

1,1.38890,Damysus,WAN,throughput
2,1.12873829,Damysus,WAN,throughput
4,0.9878678,Damysus,WAN,throughput
8,0.7890099,Damysus,WAN,throughput
16,0.47289,Damysus,WAN,throughput
32,0.378990,Damysus,WAN,throughput
1,451.6780,Damysus,WAN,latency
2,471.4678332,Damysus,WAN,latency
4,503.97920,Damysus,WAN,latency
8,647.979876,Damysus,WAN,latency
16,885.109297,Damysus,WAN,latency
32,1124.578,Damysus,WAN,latency

1,2.5028535,Achilles,WAN,throughput
2,2.0728932,Achilles,WAN,throughput
4,1.58295,Achilles,WAN,throughput
8,1.2890789,Achilles,WAN,throughput
16,0.98738,Achilles,WAN,throughput
32,0.780912,Achilles,WAN,throughput
1,166.4893,Achilles,WAN,latency
2,200.398934,Achilles,WAN,latency
4,263.8909,Achilles,WAN,latency
8,325.8709,Achilles,WAN,latency
16,424.4673827,Achilles,WAN,latency
32,533.874839,Achilles,WAN,latency

1,0.7028798,HotStuff,WAN,throughput
2,0.685456,HotStuff,WAN,throughput
4,0.67757,HotStuff,WAN,throughput
8,0.660235,HotStuff,WAN,throughput
16,0.359827,HotStuff,WAN,throughput
32,0.3083784,HotStuff,WAN,throughput
1,978.873286,HotStuff,WAN,latency
2,990.938897,HotStuff,WAN,latency
4,1025.32354,HotStuff,WAN,latency
8,1032.346576,HotStuff,WAN,latency
16,1724.21341,HotStuff,WAN,latency
32,1805.323078,HotStuff,WAN,latency


1,0.698625,Raftel-Worst,WAN,throughput
2,0.6777747777777777,Raftel-Worst,WAN,throughput
4,0.6654020833333333,Raftel-Worst,WAN,throughput
8,0.5581737999999999,Raftel-Worst,WAN,throughput
16,0.30697286956521735,Raftel-Worst,WAN,throughput
32,0.28770033333333334,Raftel-Worst,WAN,throughput
1,1031.24425,Raftel-Worst,WAN,latency
2,1078.8234684444444,Raftel-Worst,WAN,latency
4,1055.4492825833331,Raftel-Worst,WAN,latency
8,1121.4184249999998,Raftel-Worst,WAN,latency
16,1815.5933804347833,Raftel-Worst,WAN,latency
32,1977.063294444444,Raftel-Worst,WAN,latency
