tee_nodes,throughput,latency,set
1,213.0715305,2.277705,S1
2,195.4576436,2.423303714,S1
4,178.3198471,2.691698429,S1
8,122.4849544,3.26611,S1
16,78.67887449,5.083964286,S1
32,31.47399047,12.70920103,S1
1,207.4864405,2.42971875,S2
1,189.1770754,2.670339286,S2
4,154.5410403,3.288355769,S2
8,87.6793946,4.562095,S2
16,45.99986584,5.8335,S2
32,28.0604043,14.87839562,S2
1,209.9621352,2.3086875,S3
2,190.7469324,2.609107143,S3
4,154.9954586,3.207211538,S3
8,71.54760944,5.59069,S3
16,40.25101139,7.960122449,S3
32,22.9841571,17.40336727,S3
1,206.3449413,2.438642857,S4
2,192.1953207,2.538785714,S4
4,107.5708398,3.718480769,S4
8,59.37114496,6.73728,S4
16,32.06278298,12.07798214,S4
32,9.3762834,41.8362789,S4
