network,protocol,thread_count,avg_qps,avg_latency
lan,Chained-Raftel,1,43.259962,2469.846336
lan,Chained-Raftel,1,64.873198,2825.023103
lan,Chained-Raftel,1,82.191689,2795.984861
lan,Chained-Raftel,1,85.232731,3224.693106
lan,Chained-Raftel,1,86.431973,3260.327473
lan,Chained-Raftel,1,94.47917,4319.038444
lan,Chained-Raftel,1,96.968593,4335.573434
lan,Chained-Raftel,1,89.102878,4366.73472
lan,Chained-Raftel,1,92.0878912,4468.327164

lan,Raftel,1,42.33044,3638.808
lan,Raftel,1,73.11596,3341
lan,Raftel,1,84.39206,4529.99
lan,Raftel,1,86.58272,5291.492
lan,Raftel,1,87.95416,5469.06
lan,Raftel,1,88.8757,5657.116
lan,Raftel,1,87.34056,5896.616
lan,Raftel,1,86.44676,5898.602
lan,Raftel,1,86.24936,5960.992
,,,,
,,,,
lan,Damysus,1,45.13236,4181.3222
lan,Damysus,1,54.31731,4125.023103
lan,Damysus,1,57.191689,4195.984861
lan,Damysus,1,68.232731,4224.693106
lan,Damysus,1,68.431973,4260.327473
lan,Damysus,1,69.47917,4319.038444
lan,Damysus,1,69.868593,5335.573434
lan,Damysus,1,70.471649,5366.73472
lan,Damysus,1,70.448982,5468.327164
lan,Damysus,1,70.383207,5498.704388

lan,HotStuff,1,27.022045,5823.075407
lan,HotStuff,1,41.78078,5740.7347
lan,HotStuff,1,43.99565,6079.7102
lan,HotStuff,1,45.13236,7181.3222
lan,HotStuff,1,44.78461,7155.3063
lan,HotStuff,1,45.26771,7146.6034
lan,HotStuff,1,44.94246,7145.5576



lan,Achilles,1,66.329714,2877.534969
lan,Achilles,1,78.055372,2909.992664
lan,Achilles,1,86.856724,3036.799994
lan,Achilles,1,89.989363,3152.719826
lan,Achilles,1,95.521728,3201.802438
lan,Achilles,1,98.53878,5601.802438
lan,Achilles,1,97.539337,5782.360307
lan,,1,,
lan,,1,,
lan,,1,,
lan,,1,,
lan,,1,,
